transaction_id,customer_id,merchant_id,transaction_amount,transaction_date,transaction_time,transaction_type,channel,currency,status,is_fraud
1,1001,201,2500,2024-01-05,2024-01-05 10:23:00,purchase,online,INR,completed,0
2,1001,202,1800,2024-01-12,2024-01-12 14:35:00,purchase,mobile,INR,completed,0
3,1001,205,3200,2024-01-20,2024-01-20 09:10:00,purchase,online,INR,completed,0
4,1001,204,45000,2024-01-21,2024-01-21 02:15:00,transfer,online,USD,completed,1
5,1001,207,38000,2024-01-21,2024-01-21 02:45:00,transfer,online,USD,completed,1
6,1002,206,85000,2024-01-08,2024-01-08 11:00:00,purchase,online,INR,completed,0
7,1002,209,42000,2024-01-15,2024-01-15 16:20:00,purchase,mobile,INR,completed,0
8,1002,208,32000,2024-01-22,2024-01-22 13:45:00,purchase,online,INR,completed,0
9,1002,205,28000,2024-02-01,2024-02-01 10:30:00,purchase,mobile,INR,completed,0
10,1002,206,91000,2024-02-10,2024-02-10 12:00:00,purchase,online,INR,completed,0
11,1003,210,49500,2024-01-10,2024-01-10 09:00:00,transfer,online,USD,completed,1
12,1003,210,49800,2024-01-10,2024-01-10 11:30:00,transfer,online,USD,completed,1
13,1003,210,49200,2024-01-11,2024-01-11 09:15:00,transfer,online,USD,completed,1
14,1003,201,5600,2024-01-25,2024-01-25 14:00:00,purchase,mobile,INR,completed,0
15,1003,202,3200,2024-02-05,2024-02-05 16:30:00,purchase,online,INR,completed,0
16,1004,204,15000,2024-01-18,2024-01-18 23:50:00,transfer,mobile,USD,pending,1
17,1004,207,22000,2024-01-19,2024-01-19 00:15:00,transfer,online,USD,completed,1
18,1005,209,120000,2024-01-14,2024-01-14 10:00:00,purchase,online,USD,completed,0
19,1005,210,250000,2024-01-28,2024-01-28 11:30:00,transfer,online,USD,completed,0
20,1005,206,95000,2024-02-08,2024-02-08 14:00:00,purchase,mobile,USD,completed,0
21,1006,201,1200,2024-01-06,2024-01-06 12:00:00,purchase,mobile,INR,completed,0
22,1006,202,850,2024-01-14,2024-01-14 15:30:00,purchase,online,INR,completed,0
23,1006,205,4500,2024-01-30,2024-01-30 10:45:00,purchase,mobile,INR,completed,0
24,1006,208,2100,2024-02-12,2024-02-12 13:20:00,purchase,online,INR,completed,0
25,1007,206,180000,2024-01-09,2024-01-09 11:00:00,purchase,online,GBP,completed,0
26,1007,209,65000,2024-01-23,2024-01-23 14:00:00,purchase,online,GBP,completed,0
27,1007,205,48000,2024-02-04,2024-02-04 09:30:00,purchase,mobile,GBP,completed,0
28,1008,204,8000,2024-01-16,2024-01-16 01:30:00,transfer,mobile,USD,completed,1
29,1008,207,12000,2024-01-16,2024-01-16 01:55:00,transfer,online,USD,completed,1
30,1008,204,9500,2024-01-17,2024-01-17 02:10:00,transfer,mobile,USD,failed,1
31,1009,210,75000,2024-01-11,2024-01-11 10:00:00,transfer,online,SGD,completed,0
32,1009,210,82000,2024-01-25,2024-01-25 10:30:00,transfer,online,SGD,completed,0
33,1009,209,35000,2024-02-06,2024-02-06 11:00:00,purchase,online,SGD,completed,0
34,1010,201,1500,2024-01-07,2024-01-07 13:00:00,purchase,mobile,INR,completed,0
35,1010,202,2200,2024-01-19,2024-01-19 16:00:00,purchase,online,INR,completed,0
36,1010,204,35000,2024-01-20,2024-01-20 03:00:00,transfer,online,USD,completed,1
37,1010,201,1800,2024-02-01,2024-02-01 14:30:00,purchase,mobile,INR,completed,0
38,1011,210,500000,2024-01-13,2024-01-13 09:00:00,transfer,online,USD,completed,0
39,1011,210,450000,2024-01-27,2024-01-27 09:30:00,transfer,online,USD,completed,0
40,1012,201,800,2024-01-10,2024-01-10 11:00:00,purchase,mobile,INR,completed,0
41,1012,202,1100,2024-01-24,2024-01-24 15:00:00,purchase,online,INR,completed,0
42,1012,205,5500,2024-02-09,2024-02-09 10:00:00,purchase,mobile,INR,completed,0
43,1013,203,12000,2024-01-08,2024-01-08 20:00:00,purchase,online,EUR,completed,0
44,1013,203,18000,2024-01-15,2024-01-15 21:30:00,purchase,online,EUR,completed,0
45,1013,203,25000,2024-01-22,2024-01-22 22:00:00,purchase,online,EUR,completed,0
46,1013,204,80000,2024-01-23,2024-01-23 23:45:00,transfer,online,EUR,completed,1
47,1014,210,30000,2024-01-17,2024-01-17 10:00:00,transfer,online,USD,completed,1
48,1014,204,25000,2024-01-17,2024-01-17 10:30:00,transfer,mobile,USD,completed,1
49,1015,206,55000,2024-01-12,2024-01-12 11:00:00,purchase,online,INR,completed,0
50,1015,209,38000,2024-01-26,2024-01-26 14:00:00,purchase,mobile,INR,completed,0
