alert_id,transaction_id,customer_id,alert_type,alert_severity,alert_date,status,assigned_to
101,4,1001,amount_spike,critical,2024-01-21,closed_fraud,Analyst_A
102,5,1001,blacklist,critical,2024-01-21,closed_fraud,Analyst_A
103,11,1003,structuring,high,2024-01-10,closed_fraud,Analyst_B
104,12,1003,structuring,high,2024-01-10,closed_fraud,Analyst_B
105,13,1003,structuring,high,2024-01-11,closed_fraud,Analyst_B
106,16,1004,late_night,high,2024-01-18,closed_fraud,Analyst_C
107,17,1004,blacklist,critical,2024-01-19,closed_fraud,Analyst_C
108,28,1008,late_night,critical,2024-01-16,closed_fraud,Analyst_A
109,29,1008,blacklist,critical,2024-01-16,closed_fraud,Analyst_A
110,36,1010,amount_spike,high,2024-01-20,closed_fraud,Analyst_C
111,38,1011,velocity,high,2024-01-13,investigating,Analyst_B
112,46,1013,amount_spike,critical,2024-01-23,closed_fraud,Analyst_A
113,47,1014,sanctions,critical,2024-01-17,closed_fraud,Analyst_C
114,48,1014,sanctions,critical,2024-01-17,closed_fraud,Analyst_C
115,19,1005,velocity,medium,2024-01-28,open,Analyst_B
